id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24874433,Sea the View,188043858,Sherylin,Belize,Belize Islands,17.88088,-87.99078,Entire home/apt,1470,4,0,,,1,362,0,
25130593,Gills Cove - Tobacco Caye Room 4,120977046,Jerome,Stann Creek,Stann Creek Islands,16.89743,-88.06155,Private room,,1,16,2024-02-05,0.21,3,357,1,
25130871,Gills Cove - Tobacco Caye Room 3,120977046,Jerome,Stann Creek,Stann Creek Islands,16.89716,-88.06076,Private room,,1,3,2020-01-17,0.04,3,357,0,
25161995,Economy Single Room #1,45374193,Rumors,Cayo,Cayo,17.12824,-89.09496,Hotel room,,1,6,2023-07-19,0.09,10,0,0,
25164892,Standard Single Room #2,45374193,Rumors,Cayo,Cayo,17.12924,-89.09549,Hotel room,,1,1,2022-03-23,0.03,10,0,0,
25167659,Vernon Street Plaza Apartment,162172283,Lillith,Belize,Belize Mainland,17.49927,-88.20256,Private room,,1,0,,,1,0,0,
25235072,D'ALEXANDR Penthouse Room & Caribbean Sea View!,41571680,Wendy,Belize,Belize Mainland,17.52763,-88.23727,Private room,222,1,4,2019-08-09,0.06,1,364,0,
25259878,Mountain View Garden Lodge,190839864,Aileen,Cayo,Cayo,17.24182,-88.77133,Entire home/apt,,2,0,,,1,0,0,
25275075,Casa Maya,190947322,Alexander,Cayo,Cayo,17.15446,-89.07762,Entire home/apt,131,2,22,2024-12-23,0.95,1,327,14,
25350649,"City Garden 2 @ King’s Park, #13 1st St (7 yrs)",81192608,Angie,Belize,Belize Mainland,17.50772,-88.19314,Entire home/apt,136,1,94,2024-12-26,1.19,2,333,16,
25354418,Belize city room in paradise,191462273,Shannon,Belize,Belize Mainland,17.49669,-88.19619,Private room,,2,0,,,1,0,0,
25415840,"Cozy Jungle Cabin, Hopkins Village",191864657,Julian,Stann Creek,Stann Creek Mainland,16.863036542692107,-88.31620598962404,Entire home/apt,111,1,54,2024-05-21,0.71,3,349,12,
25432282,Sarkiki 3 bedroom,76677074,Linda,Stann Creek,Stann Creek Mainland,16.81704,-88.26311,Entire home/apt,575,2,7,2024-12-27,0.09,2,352,4,
25457887,Cayo Comfort Stay: Apartment #2,112950769,Maritza,Cayo,Cayo,17.15803,-89.07143,Entire home/apt,182,2,78,2024-07-29,0.98,2,75,10,
25674495,Sunshine House - Gold Standard poolside home.,58769000,Cindy,Belize,Belize Islands,17.90677,-87.97802,Entire home/apt,1614,3,39,2024-04-30,0.49,1,335,3,
25783852,Casa Belize Charming 3 Bedroom Home,2917510,Carolyn,Belize,Belize Mainland,17.51099,-88.22541,Entire home/apt,363,1,47,2024-12-14,0.61,6,145,14,
25805456,Juntos Two Bedroom Cottage,27597123,Dream,Cayo,Cayo,17.22618,-88.85728,Entire home/apt,,1,2,2019-08-03,0.03,5,0,0,
25832834,Masapan Guest House,144130330,BelizeIt,Belize,Belize Islands,17.94171,-87.94832,Entire home/apt,533,3,10,2024-10-20,0.13,25,318,1,
25840079,Modern Beachfront Home with Private Pool & Hot Tub,3671011,Christin,Belize,Belize Islands,17.97173,-87.92866,Entire home/apt,2652,3,44,2024-08-11,0.59,1,248,9,
